staff_id                            |staff_name|
------------------------------------+----------+
db4c7460-9c53-4930-b533-d6e48859e26b|name 278  |
89967057-86a7-482a-b0b6-03970ddb2207|name 200  |
e764401a-b11b-422a-959e-797e7b3cd1d7|name 332  |
c8170cc2-8029-4f41-a69d-2b87b595c5bd|name 389  |
87580315-1d07-47ab-bd28-037f4b202c86|name 371  |
d97113e2-e90e-486e-be24-f443df91b9cf|name 345  |
1b8ceec4-821b-459f-89f0-9c61f78999f8|name 130  |
8d0090b5-8004-4d5a-9a8b-d59d2509df65|name 318  |
568a13f9-c389-465f-9d77-b2c2d25f17c9|name 368  |
7ae93673-82cf-47db-902e-77b5e1c15416|name 49   |
ee120fc3-910c-4986-93fa-8ae4735c27ac|name 246  |
2a07d2a9-f6e8-4cf0-a485-5d5e7485d7c8|name 364  |
b5591908-2352-4021-b053-d003857e3a13|name 289  |
054ff2ae-a5f8-4d53-a866-be23e5b174c5|name 300  |
9cfde6bc-c75d-4c2e-a737-4a55975af7f4|name 128  |
94d9ddf8-0f6c-49d7-b2da-28f45942ccac|name 41   |
a8905871-84e3-4104-a67b-0cb6d5db7f8f|name 154  |
f6446d45-da98-4acb-a7e1-a3728bbede35|name 90   |
7cab3da1-1143-46dc-b62e-10879beba080|name 284  |
4cd9e93c-b361-467c-84d2-9000e4108d61|name 223  |
917af233-d82b-426e-b530-2d5d07c5656e|name 309  |
994c2a64-a4e8-4cbd-b84f-090df411808d|name 277  |
f7e56ed6-b5b9-4fc2-8d5b-3392f09e352e|name 36   |
c6fd794c-98a5-4e3f-9714-c1034e7b1394|name 393  |
b5fd4add-1fb8-40e3-b25d-87519c2649b5|name 25   |
e151401a-763d-4008-939c-401b0f85ad88|name 148  |
5b924c68-07d2-441e-bc22-38c4b424fe87|name 159  |
1e91f246-0b65-42e3-827f-f02e1ea63024|name 299  |
41c9719f-0eae-4ba4-a1e7-44f0443519f3|name 261  |
f89a90cd-3453-4b2c-8a5b-4a3a99e74a9b|name 331  |
5fd024b6-e51c-4192-9a4e-66f89933ee65|name 178  |
a9bf4558-b2f6-442a-8f7f-7436aff41247|name 40   |
fa6c19bb-bce8-45fe-96f7-eaca597ec9d8|name 14   |
cdfd14f1-16b0-4438-b906-d9eba2b1ad99|name 388  |
663909e7-8539-4c7c-a489-d4b5b6cf4996|name 381  |
8a9cb918-c96b-4c95-b337-1d4d7719c3fc|name 158  |
6eb579af-e0df-46d8-933b-d5fbe369e775|name 105  |
